DATE,bit_price
4/10/17,1210.0
4/11/17,1223.99
4/12/17,1214.17
4/13/17,1177.05
4/14/17,1173.74
4/15/17,1178.85
4/16/17,1177.99
4/17/17,1189.91
4/18/17,1201.94
4/19/17,1214.21
4/20/17,1236.15
4/21/17,1249.99
4/22/17,1247.0
4/23/17,1251.98
4/24/17,1257.29
4/25/17,1281.16
4/26/17,1298.44
4/27/17,1349.26
4/28/17,1353.34
4/29/17,1365.43
4/30/17,1384.55
5/1/17,1436.5
5/2/17,1471.99
5/3/17,1533.0
5/4/17,1563.39
5/5/17,1551.3
5/6/17,1585.39
5/7/17,1609.57
5/8/17,1713.0
5/9/17,1720.43
5/10/17,1794.99
5/11/17,1837.93
5/12/17,1695.61
5/13/17,1792.73
5/14/17,1799.99
5/15/17,1747.81
5/16/17,1777.48
5/17/17,1813.23
5/18/17,1899.16
5/19/17,1976.23
5/20/17,2058.91
5/21/17,2057.0
5/22/17,2123.29
5/23/17,2272.75
5/24/17,2432.97
5/25/17,2355.0
5/26/17,2272.7
5/27/17,2099.99
5/28/17,2232.78
5/29/17,2279.48
5/30/17,2191.58
5/31/17,2303.29
6/1/17,2419.99
6/2/17,2478.99
6/3/17,2548.05
6/4/17,2521.36
6/5/17,2698.0
6/6/17,2871.29
6/7/17,2685.64
6/8/17,2799.73
6/9/17,2811.39
6/10/17,2931.15
6/11/17,2998.98
6/12/17,2655.71
6/13/17,2709.01
6/14/17,2432.21
6/15/17,2409.98
6/16/17,2480.43
6/17/17,2634.94
6/18/17,2515.25
6/19/17,2596.98
6/20/17,2725.08
6/21/17,2643.35
6/22/17,2679.99
6/23/17,2690.76
6/24/17,2574.84
6/25/17,2505.61
6/26/17,2407.91
6/27/17,2575.75
6/28/17,2553.12
6/29/17,2530.0
6/30/17,2455.19
7/1/17,2423.63
7/2/17,2516.66
7/3/17,2542.41
7/4/17,2602.0
7/5/17,2616.96
7/6/17,2604.84
7/7/17,2501.15
7/8/17,2561.11
7/9/17,2508.99
7/10/17,2331.05
7/11/17,2310.01
7/12/17,2383.42
7/13/17,2340.0
7/14/17,2217.24
7/15/17,1964.31
7/16/17,1911.78
7/17/17,2235.19
7/18/17,2308.15
7/19/17,2258.99
7/20/17,2873.48
7/21/17,2657.45
7/22/17,2825.27
7/23/17,2754.28
7/24/17,2762.26
7/25/17,2564.0
7/26/17,2525.99
7/27/17,2664.99
7/28/17,2786.07
7/29/17,2700.21
7/30/17,2723.99
7/31/17,2856.88
8/1/17,2732.59
8/2/17,2699.9
8/3/17,2787.02
8/4/17,2857.34
8/5/17,3243.49
8/6/17,3222.22
8/7/17,3398.23
8/8/17,3422.43
8/9/17,3342.8
8/10/17,3444.98
8/11/17,3656.15
8/12/17,3874.0
8/13/17,4060.47
8/14/17,4320.6
8/15/17,4159.93
8/16/17,4370.01
8/17/17,4280.01
8/18/17,4101.72
8/19/17,4157.41
8/20/17,4050.99
8/21/17,4002.0
8/22/17,4092.0
8/23/17,4143.49
8/24/17,4312.03
8/25/17,4360.0
8/26/17,4344.32
8/27/17,4340.11
8/28/17,4384.99
8/29/17,4599.0
8/30/17,4581.98
8/31/17,4743.94
9/1/17,4947.99
9/2/17,4649.99
9/3/17,4626.05
9/4/17,4498.25
9/5/17,4432.51
9/6/17,4616.18
9/7/17,4624.18
9/8/17,4350.0
9/9/17,4334.36
9/10/17,4251.36
9/11/17,4210.72
9/12/17,4164.52
9/13/17,3855.32
9/14/17,3250.4
9/15/17,3740.02
9/16/17,3726.51
9/17/17,3719.97
9/18/17,4100.0
9/19/17,3910.11
9/20/17,3872.06
9/21/17,3617.47
9/22/17,3619.01
9/23/17,3787.33
9/24/17,3669.01
9/25/17,3919.78
9/26/17,3885.09
9/27/17,4200.0
9/28/17,4189.42
9/29/17,4156.99
9/30/17,4339.0
10/1/17,4394.81
10/2/17,4392.71
10/3/17,4307.99
10/4/17,4214.84
10/5/17,4320.04
10/6/17,4362.99
10/7/17,4425.0
10/8/17,4603.49
10/9/17,4769.55
10/10/17,4750.0
10/11/17,4814.99
10/12/17,5440.0
10/13/17,5624.8
10/14/17,5819.13
10/15/17,5693.7
10/16/17,5754.9
10/17/17,5594.0
10/18/17,5574.44
10/19/17,5704.01
10/20/17,5989.1
10/21/17,6024.86
10/22/17,6005.05
10/23/17,5905.99
10/24/17,5525.43
10/25/17,5739.97
10/26/17,5891.61
10/27/17,5780.0
10/28/17,5752.01
10/29/17,6140.01
10/30/17,6124.16
10/31/17,6445.01
11/1/17,6783.69
